STATION_CODE,DATETIME,global_radiation,precipitation,relative_humidity,snow_level,temperature,wind_direction,wind_gust,wind_speed,UNIQUE_IDENTIFIER
T0010,2024-01-24T06:30:00+01,0.0,0.0,83.0,,-1.2,,,,262_daily_weather
T0010,2024-01-24T06:45:00+01,0.0,0.0,82.0,,-1.2,39.0,1.7,0.8,263_daily_weather
T0010,2024-01-24T07:00:00+01,0.0,0.0,83.0,,-1.3,308.0,1.2,0.6,264_daily_weather
T0010,2024-01-24T07:15:00+01,0.0,0.0,83.0,,-1.3,293.0,1.1,0.3,265_daily_weather
T0010,2024-01-24T07:30:00+01,0.0,0.0,84.0,,-1.5,19.0,0.6,0.3,266_daily_weather
T0010,2024-01-24T07:45:00+01,0.0,0.0,84.0,,-1.5,35.0,1.3,0.4,267_daily_weather
T0010,2024-01-24T08:00:00+01,0.0,0.0,84.0,,-1.3,334.0,1.1,0.8,268_daily_weather
T0010,2024-01-24T08:15:00+01,0.0,0.0,83.0,,-1.1,244.0,0.9,0.1,269_daily_weather
T0010,2024-01-24T08:30:00+01,19.0,0.0,83.0,,-1.1,277.0,0.8,0.3,270_daily_weather
T0010,2024-01-24T08:45:00+01,25.0,0.0,83.0,,-1.0,53.0,2.2,0.6,271_daily_weather
T0010,2024-01-24T09:00:00+01,26.0,0.0,83.0,,-0.9,52.0,1.2,0.7,272_daily_weather
T0010,2024-01-24T09:15:00+01,34.0,0.0,84.0,,-1.0,274.0,1.2,0.5,273_daily_weather
T0010,2024-01-24T09:30:00+01,35.0,0.0,84.0,,-0.7,247.0,0.7,0.3,274_daily_weather
T0010,2024-01-24T09:45:00+01,37.0,0.0,83.0,,-0.4,354.0,1.3,0.3,275_daily_weather
T0010,2024-01-24T10:00:00+01,55.0,0.0,82.0,,0.0,250.0,1.1,0.3,276_daily_weather
